targetLeft,ID,shape,targetSize,targetX,targetY,targetX2,targetY2,targetX3,targetY3,numNonTargets,nontargetSize,nontargetX,nontargetY,nontargetX2,nontargetY2,nontargetX3,nontargetY3,rewardCombo,fixation
TRUE,A,6,0.12,0.6,-0.1,,,,,3,0.094,-0.5,-0.2,-0.6,0.1,-0.3,0,Reward/Color_1.csv,Animal/Pig.png
FALSE,AA,6,0.12,-0.6,-0.1,,,,,2,0.12,0.3,0,0.6,0,,,Reward/Color_4.csv,Animal/Duck.png
TRUE,B,6,0.12,0.3,-0.1,,,,,3,0.088,-0.3,0.1,-0.5,-0.1,-0.6,0.1,Reward/Color_3.csv,Animal/Dog.png
FALSE,BB,6,0.12,-0.3,-0.1,,,,,2,0.1,0.4,0.2,0.6,0.1,,,Reward/Color_6.csv,Animal/Gorilla.png
TRUE,C,6,0.13,0.45,0,,,,,2,0.1,-0.4,0.2,-0.6,0.1,,,Reward/Color_2.csv,Animal/Cow.png
FALSE,CC,6,0.12,-0.45,0,,,,,3,0.094,0.3,0.1,0.5,-0.1,0.6,0.1,Reward/Color_5.csv,Animal/Gorilla.png
TRUE,D,circle,0.12,0.3,0.1,,,,,2,0.11,-0.3,0.1,-0.5,0.2,,,Reward/Color_1.csv,Animal/Duck.png
FALSE,DD,circle,0.12,-0.3,0.1,,,,,3,0.11,0.4,-0.15,0.6,0,0.45,0.15,Reward/Color_4.csv,Animal/Cow.png
FALSE,E,circle,0.13,-0.5,0,,,,,3,0.099,0.5,0,0.3,-0.1,0.5,0.2,Reward/Color_6.csv,Animal/Horse.png
TRUE,EE,circle,0.13,0.5,0,,,,,2,0.12,-0.4,-0.15,-0.6,0,,,Reward/Color_3.csv,Animal/Monkey.png
FALSE,F,circle,0.14,-0.4,-0.15,,,,,2,0.11,0.3,0.1,0.5,0.2,,,Reward/Color_5.csv,Animal/Dog.png
TRUE,FF,circle,0.14,0.4,-0.15,,,,,3,0.099,-0.5,0,-0.3,-0.1,-0.5,0.2,Reward/Color_2.csv,Animal/Horse.png
TRUE,G,cross,0.14,0.6,-0.1,,,,,2,0.13,-0.6,0,-0.3,0.1,,,Reward/Color_13.csv,Animal/Monkey.png
FALSE,GG,cross,0.14,-0.6,-0.1,,,,,3,0.13,0.3,0,0.6,0,0.45,-0.15,Reward/Color_1.csv,Animal/Dog.png
TRUE,H,cross,0.15,0.5,-0.2,,,,,2,0.13,-0.3,0.1,-0.4,-0.2,,,Reward/Color_15.csv,Animal/Cow.png
FALSE,HH,cross,0.15,-0.5,-0.2,,,,,3,0.11,0.25,0,0.5,0.2,0.55,-0.1,Reward/Color_3.csv,Animal/Duck.png
TRUE,I,cross,0.17,0.5,0.1,,,,,3,0.12,-0.6,0,-0.45,0.1,-0.39,-0.12,Reward/Color_14.csv,Animal/Pig.png
FALSE,II,cross,0.17,-0.5,0.1,,,,,2,0.13,0.6,0,0.3,0.1,,,Reward/Color_2.csv,Animal/Dog.png
FALSE,J,rectangle,0.1,-0.5,0,,,,,2,0.094,0.6,0.1,0.4,-0.1,,,Reward/Color_15.csv,Animal/Cat.png
TRUE,JJ,rectangle,0.1,0.5,0,,,,,3,0.087,-0.36,0.05,-0.6,0.08,-0.45,-0.15,Reward/Color_12.csv,Animal/Cow.png
FALSE,K,rectangle,0.11,-0.6,0,,,,,3,0.087,0.45,-0.15,0.25,-0.1,0.45,0.15,Reward/Color_14.csv,Animal/Dog.png
TRUE,KK,rectangle,0.11,0.6,0,,,,,2,0.1,-0.3,0.1,-0.6,-0.1,,,Reward/Color_11.csv,Animal/Horse.png
TRUE,L,rectangle,0.12,0.4,0,,,,,3,0.076,-0.5,-0.2,-0.35,-0.2,-0.4,0.1,Reward/Color_10.csv,Animal/Monkey.png
FALSE,LL,rectangle,0.12,-0.4,0,,,,,2,0.087,0.6,-0.1,0.3,-0.1,,,Reward/Color_13.csv,Animal/Pig.png
TRUE,M,star7,0.18,0.65,0,,,,,3,0.15,-0.55,0.1,-0.3,0.05,-0.55,-0.1,Reward/Color_4.csv,Animal/Gorilla.png
FALSE,MM,star7,0.18,-0.45,-0.1,,,,,2,0.2,0.55,-0.1,0.55,0.1,,,Reward/Color_7.csv,Animal/Horse.png
TRUE,N,star7,0.23,0.4,0.1,,,,,2,0.13,-0.65,-0.1,-0.4,-0.1,,,Reward/Color_5.csv,Animal/Cat.png
FALSE,NN,star7,0.23,-0.5,0,,,,,3,0.1,0.65,-0.1,0.4,-0.1,0.3,0,Reward/Color_8.csv,Animal/Duck.png
TRUE,P,star7,0.27,0.3,0,,,,,3,0.1,-0.65,-0.1,-0.4,-0.1,-0.3,0,Reward/Color_6.csv,Animal/Duck.png
FALSE,PP,star7,0.27,-0.3,0,,,,,2,0.13,0.65,-0.1,0.4,-0.1,,,Reward/Color_9.csv,Animal/Gorilla.png
FALSE,Q,triangle,0.15,-0.4,0.1,,,,,3,0.12,0.5,-0.2,0.5,0,0.3,0.15,Reward/Color_10.csv,Animal/Gorilla.png
TRUE,QQ,triangle,0.15,0.4,0.1,,,,,2,0.15,-0.3,0.1,-0.5,0,,,Reward/Color_7.csv,Animal/Cat.png
TRUE,R,triangle,0.16,0.5,0,,,,,2,0.13,-0.3,0,-0.6,0.1,,,Reward/Color_9.csv,Animal/Cat.png
FALSE,RR,triangle,0.16,-0.5,0,,,,,3,0.13,0.6,0.1,0.3,0.1,0.45,-0.1,Reward/Color_12.csv,Animal/Pig.png
TRUE,S,triangle,0.17,0.5,0.15,,,,,3,0.12,-0.5,0,-0.3,-0.1,-0.4,0.2,Reward/Color_8.csv,Animal/Monkey.png
FALSE,SS,triangle,0.15,-0.5,0.15,,,,,2,0.14,0.4,0.1,0.5,-0.1,,,Reward/Color_11.csv,Animal/Cow.png
