1.8263 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.8389 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
10.5872 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000227AF02EB20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000227AF89BEB0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.5875 	EXP 	window1: mouseVisible = True
10.5875 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.5876 	EXP 	window1: recordFrameIntervals = False
10.7534 	EXP 	window1: recordFrameIntervals = True
10.9371 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
10.9372 	EXP 	window1: recordFrameIntervals = False
13.3157 	EXP 	Created endButton = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='endButton', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='Click here to continue', units='height', win=Window(...), wrapWidth=1)
13.3157 	EXP 	window1: mouseVisible = True
13.3161 	EXP 	Created sequence: random, trialTypes=1, nReps=3, seed=None
13.3163 	EXP 	New trial (rep=0, index=0): None
13.3912 	EXP 	textbox: autoLog = True
13.3912 	EXP 	textbox: autoDraw = True
13.3912 	EXP 	endButton: autoDraw = True
14.3582 	DATA 	Mouse: Left button down, pos=(954,523)
14.5582 	DATA 	Mouse:  Left button up, pos=(951,523)
15.3592 	DATA 	Mouse: Left button down, pos=(1149,536)
15.4592 	DATA 	Mouse:  Left button up, pos=(1149,536)
16.5269 	DATA 	Keypress: backspace
17.3776 	DATA 	Keypress: right
17.6611 	DATA 	Keypress: right
17.7974 	DATA 	Keypress: right
17.9615 	DATA 	Keypress: right
18.0949 	DATA 	Keypress: right
18.2451 	DATA 	Keypress: right
18.3786 	DATA 	Keypress: right
18.5120 	DATA 	Keypress: right
18.6454 	DATA 	Keypress: right
18.7815 	DATA 	Keypress: right
18.9124 	DATA 	Keypress: right
19.0459 	DATA 	Keypress: right
