cue_file,target_x,is_valid,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cue.started,cue.stopped,target.started,target.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,feedbackTxt.started,feedbackTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,-0.5,invalid,0,0,0,9,12.879999299999326,13.57943859999068,13.563322400004836,None,[-0.43148148],[-0.018518519],[1],[0],[0],[0.7848413000028813],['target'],0.7092546999338083,None,14.514583800002583,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,1,1,2,15.382696200002101,16.08199720000266,16.06565249999403,None,[-0.46944445],[-0.025],[1],[0],[0],[0.3335963999998057],['target'],0.7105102499917848,None,16.41671609999321,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,2,2,1,17.41834099999687,18.117387799997232,18.101324100003694,None,[-0.4787037],[0.041666668],[1],[0],[0],[0.35038279999571387],['target'],0.710918650001986,None,18.46820829999342,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,3,3,6,19.46988550000242,20.17002859999775,20.15419679999468,None,[0.42685184],[0.05185185],[1],[0],[0],[0.23354370000015479],['target'],0.7100592499919003,None,20.40303159999894,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,0.5,invalid,0,4,4,8,21.405685099991388,22.10474899999099,22.088666499999817,None,"[-0.5138889, 0.64444447]","[0.0074074073, 0.15555556]","[1, 1]","[0, 0]","[0, 0]","[0.0002905000001192093, 0.4837669999978971]",['target'],0.7098634499998298,None,22.588971199991647,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,5,5,3,23.59093109999958,24.29029889999947,24.273752299995977,None,[-0.39259258],[-0.0018518518],[1],[0],[0],[0.2506766000005882],['target'],0.7098097499983851,None,24.54039149999153,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,6,6,0,25.543170000004466,26.242100299990852,26.225997300003655,None,[-0.33425927],[-0.0074074073],[1],[0],[0],[0.2510430999973323],['target'],0.7081019499746617,None,26.49231429999054,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,7,7,4,27.49487510000472,28.194197499993606,28.178042400002596,None,[0.4425926],[0.031481482],[1],[0],[0],[0.18355469999369234],['target'],0.709274649998406,None,28.37799900000391,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,8,8,5,29.379752900000312,30.07939400000032,30.06279270000232,None,[0.40648147],[-0.010185185],[1],[0],[0],[0.634538700003759],['target'],0.7103832499997225,None,30.713638100001845,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,9,9,7,31.71548790000088,32.41503499999817,32.398613600002136,None,[0.34907407],[-0.0018518518],[1],[0],[0],[0.2345191999920644],['target'],0.709797149989754,None,32.648476300004404,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,1,0,10,2,33.6502252999926,34.350821799991536,34.33361390000209,None,[-0.49814814],[-0.06574074],[1],[0],[0],[0.43525619999854825],['target'],0.7092538499855436,None,34.78426600000239,None,Kyle,001,2022-06-16_18h36.49.214,posner,2022.1.4,59.92426771107624,
