cue_file,target_x,is_valid,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cue.started,cue.stopped,target.started,target.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,,resp.clicked_name,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,0.5,invalid,0,3,3,8,15.6369593,16.3372176,16.3204133,None,[0.40555555],[0.0055555557],[1],[0],[0],[0.6346304999997301],,['target'],0.70751313,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,-0.5,invalid,0,6,6,9,19.1906396,19.8906073,19.8740497,None,[-0.62314814],[0.014814815],[1],[0],[0],[0.45092920000024606],,['target'],0.70490153,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,0.5,invalid,1,3,13,8,26.3477283,27.0476737,27.0312082,None,[0.46851853],[0.07962963],[1],[0],[0],[0.41747940000004746],,['target'],0.70706723,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,-0.5,invalid,1,5,15,9,28.5004507,29.1998017,29.1833605,None,[-0.50185186],[-0.055555556],[1],[0],[0],[0.335092799999984],#DIV/0!,['target'],0.70832433,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,0,0,2,12.2339902,12.9338576,12.8507781,None,[-0.45185184],[0.0],[1],[0],[0],[0.4175137000001996],,['target'],0.70635767,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,1,1,0,13.2846136,13.9846445,13.9680656,None,[-0.47592592],[-0.018518519],[1],[0],[0],[0.7187287000006108],,['target'],0.70571973,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,2,2,4,14.7193547,15.4195615,15.402889,None,[0.42407408],[0.035185184],[1],[0],[0],[0.2173899999997957],,['target'],0.70600563,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,4,4,6,16.9717141,17.6717734,17.6551164,None,[0.47962964],[0.021296296],[1],[0],[0],[0.4176397999999608],,['target'],0.70719073,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,5,5,7,18.0894693,18.7894135,18.7729055,None,[0.537037],[0.018518519],[1],[0],[0],[0.4013342999996894],,['target'],0.70733823,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,7,7,1,20.3416137,21.0418183,21.0251496,None,[-0.5546296],[-0.023148147],[1],[0],[0],[0.4176126000002114],,['target'],0.70745553,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,8,8,3,21.4594173,22.1596121,22.1430276,None,[-0.55],[-0.012037037],[1],[0],[0],[0.33415100000001985],,['target'],0.70759943,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,9,9,5,22.4941244,23.1938359,23.1773393,None,[0.45277777],[0.046296295],[1],[0],[0],[0.23418169999968086],,['target'],0.70763233,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,1,0,10,2,23.4280991,24.1280909,24.111564,None,[-0.48796296],[0.039814815],[1],[0],[0],[0.1841839999997319],,['target'],0.70703493,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,1,1,11,3,24.3123375,25.0124493,24.995851,None,[-0.51944447],[-0.010185185],[1],[0],[0],[0.33457539999926666],,['target'],0.70722533,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,1,2,12,1,25.3467644,26.0466832,26.0303708,None,[-0.57222223],[0.015740741],[1],[0],[0],[0.3007590999995955],,['target'],0.70671303,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,1,4,14,6,27.4653805,28.1657863,28.1488755,None,[0.59074074],[0.06666667],[1],[0],[0],[0.33388639999975567],,['target'],0.70753173,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,1,6,16,7,29.5342868,30.2341966,30.2177332,None,[0.31111112],[0.014814815],[1],[0],[0],[0.2679465999999593],,['target'],0.70633273,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,1,7,17,5,30.5024466,31.2020017,31.1853742,None,[0.42037037],[0.02037037],[1],[0],[0],[0.33498509999935777],,['target'],0.70703573,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,1,8,18,0,31.5361227,32.2362113,32.2196063,None,[-0.36666667],[-0.024074074],[1],[0],[0],[0.20113620000029186],,['target'],0.70634303,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,1,9,19,4,32.4370258,33.1371112,33.120507,None,[0.3398148],[-0.027777778],[1],[0],[0],[0.1675861999992776],#DIV/0!,['target'],0.70697703,None,kyle,1,2022-06-15_22h26.02.126,posner,2022.1.4,59.90359116
