cue_file,target_x,is_valid,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cue.started,cue.stopped,target.started,target.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,feedbackTxt.started,feedbackTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,0,0,1,635.5453484999889,636.2452484999958,636.1789934999833,None,[-0.48518518],[-0.031481482],[1],[0],[0],[1.300996900012251],['target'],0.7157879602746107,None,637.5300825999875,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,-0.5,invalid,0,1,1,9,638.5146856000065,639.214930999995,639.214930999995,None,[-0.40555555],[-0.08148148],[1],[0],[0],[0.6180396999989171],['target'],0.7126331900071818,None,639.8486185999936,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,2,2,7,640.850364199985,641.5504917000071,641.5338790999958,None,[0.4814815],[0.036111113],[1],[0],[0],[0.2675821000011638],['target'],0.7104042900318746,None,641.8172540999949,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,0.5,invalid,0,3,3,8,642.819009400002,643.5190843000019,643.5024844,None,[0.3861111],[0.0037037036],[1],[0],[0],[0.4177491999871563],['target'],0.7103936900093686,None,643.9360601999797,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,4,4,3,644.9377655999851,645.6378753999888,645.6213171999843,None,[-0.42037037],[-0.012037037],[1],[0],[0],[0.3008607999945525],['target'],0.7087491900310852,None,645.9380657000002,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,5,5,4,646.939739399997,647.6398348999792,647.6232759999984,None,[0.60833335],[0.016666668],[1],[0],[0],[0.3343444000056479],['target'],0.710567189991707,None,647.9734296999814,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,6,6,0,648.9750866999966,649.6751938999805,649.6586125000031,None,[-0.54351854],[0.047222223],[1],[0],[0],[0.38428150000981987],['target'],0.7087648900342174,None,650.0588049000071,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,0,7,7,2,651.0607659999805,651.7606029000017,651.7440153000061,None,[-0.3537037],[-0.018518519],[1],[0],[0],[0.36784660001285374],['target'],0.7018671900150366,None,652.1275512999855,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,8,8,5,653.1293753999926,653.8293008999899,653.8127395999909,None,[0.43055555],[0.041666668],[1],[0],[0],[0.23447830000077374],['target'],0.7089911899820436,None,654.0628513999982,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,0,9,9,6,655.0646185000078,655.7646242000046,655.7482947999961,None,[0.45555556],[0.047222223],[1],[0],[0],[0.21671750000678003],['target'],0.7106071900052484,None,655.9813459999859,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,1,0,10,7,656.9830623999878,657.6831412999891,657.6665498999937,None,[0.4],[0.021296296],[1],[0],[0],[0.16757540000253357],['target'],0.7103211900102906,None,657.8499231000023,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,1,1,11,6,658.8516099999833,None,659.5351689999807,None,[0.36018518],[0.009259259],[1],[0],[0],[0.00029499997617676854],['target'],0.7103962900000624,None,659.5516381000052,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,1,2,12,2,660.5533223999955,661.2534144999809,661.2368434999953,None,[-0.31296295],[0.024074074],[1],[0],[0],[0.167749799991725],['target'],0.7087689899781253,None,661.4202332999848,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,1,3,13,0,662.4219182999805,663.12222379999,663.1056118999841,None,[-0.30925927],[0.023148147],[1],[0],[0],[0.26752990001114085],['target'],0.7105883900076151,None,663.388776399981,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,1,4,14,3,664.3905236999854,665.0908981999964,665.0741793999914,None,[-0.28425926],[-0.0037037036],[1],[0],[0],[0.21715429998585023],['target'],0.7104534900572617,None,665.3082955999998,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,1,5,15,5,666.3093557999819,667.0093571000034,666.9927244999853,None,[0.7138889],[-0.032407407],[1],[0],[0],[0.5176460999937262],['target'],0.7103490899899043,None,667.5262471000024,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,0.5,valid,1,6,16,4,668.5279912999831,669.228271400003,669.2115109000006,None,[0.34537038],[0.0129629625],[1],[0],[0],[0.10124680001172237],['target'],0.7104524900205433,None,669.3280545999878,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_right.png,-0.5,invalid,1,7,17,9,670.3299278999912,671.029759099998,671.0133110999886,None,"[0.38796297, -0.42407408]","[0.019444445, 0.07777778]","[1, 1]","[0, 0]","[0, 0]","[0.0002330999996047467, 0.5678508999990299]",['target'],0.710114790010266,None,671.5969550999871,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,-0.5,valid,1,8,18,1,672.5986673999869,673.2988122999959,673.2822763999866,None,[-0.3314815],[0.036111113],[1],[0],[0],[0.3677219000237528],['target'],0.7105484900239389,None,673.6657082999882,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
C:/Users/kerry/Documents/Kyle Files/PsychoPyProjects/posnerFiles/images/arrow_left.png,0.5,invalid,1,9,19,8,674.6675806999847,675.3676180999901,675.351002099982,None,"[0.77685183, 0.6990741]","[0.09166667, 0.07685185]","[1, 1]","[0, 0]","[0, 0]","[0.4342674999788869, 0.751407499978086]",['target'],0.7097167899773922,None,676.1181899999792,None,kyle,001,2022-06-17_14h05.00.135,posner,2022.1.4,60.020226820228984,
