word,color,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target.started,target.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.930176900001243,None,down,2.2976089000003412,12.930176900001243,None,,,,,,,,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
blue ,red,0,left,0,0,0,5,,,,,,,15.749717800004873,None,left,1,1.5575945000018692,15.749717800004873,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
green,blue,0,right,0,1,1,3,,,,,,,17.81930210000428,21.822524800008978,right,1,4.01607499999227,17.81930210000428,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
green,green,1,down,0,2,2,2,,,,,,,22.339622600004077,None,down,1,1.7123011000076076,22.339622600004077,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
red,green,0,down,0,3,3,1,,,,,,,24.558527900007903,None,down,1,0.9807287000003271,24.558527900007903,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
blue,blue,1,right,0,4,4,4,,,,,,,26.043328500003554,None,right,1,0.9683236999990186,26.043328500003554,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
red,red,1,left,0,5,5,0,,,,,,,27.528135100001236,None,left,1,1.8831190000055358,27.528135100001236,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
green,blue,0,right,1,0,6,3,,,,,,,29.913899500010302,None,right,1,1.0097059999970952,29.913899500010302,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
blue ,red,0,left,1,1,7,5,,,,,,,31.432064000007813,None,left,1,0.6518466000125045,31.432064000007813,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
red,red,1,left,1,2,8,0,,,,,,,32.59992530000454,None,left,1,0.6192919999884907,32.59992530000454,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
red,green,0,down,1,3,9,1,,,,,,,33.73426450000261,None,down,1,0.821293599990895,33.73426450000261,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
blue,blue,1,right,1,4,10,4,,,,,,,35.068962900011684,None,right,1,0.4948235000047134,35.068962900011684,None,Kyle,001,2022-06-16_19h44.54.961,stroopExperiment,2022.1.4,60.00492040601222,
