1.8235 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
10.3123 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001752CF6BAF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001752F316E80>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.3126 	EXP 	window1: mouseVisible = True
10.3127 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.3127 	EXP 	window1: recordFrameIntervals = False
10.4783 	EXP 	window1: recordFrameIntervals = True
10.6617 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
10.6617 	EXP 	window1: recordFrameIntervals = False
12.9149 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.9163 	EXP 	Created target = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.9302 	EXP 	instrText: autoDraw = True
15.2392 	EXP 	Imported conditions.xlsx as conditions, 6 conditions, 4 params
15.2397 	EXP 	Created sequence: random, trialTypes=6, nReps=5, seed=None
15.2400 	EXP 	New trial (rep=0, index=0): {'word': 'blue ', 'color': 'red', 'congruent': 0, 'corrAns': 'left'}
15.2430 	DATA 	Keypress: down
15.2492 	EXP 	instrText: autoDraw = False
15.2492 	EXP 	target: height = 0.05
15.2492 	EXP 	target: height = 0.05
15.2492 	EXP 	target: height = 0.05
15.2492 	EXP 	target: text = 'blue '
15.7497 	EXP 	target: autoDraw = True
17.3196 	EXP 	New trial (rep=0, index=1): {'word': 'green', 'color': 'blue', 'congruent': 0, 'corrAns': 'right'}
17.3223 	DATA 	Keypress: left
17.3347 	EXP 	target: autoDraw = False
17.3347 	EXP 	target: height = 0.05
17.3347 	EXP 	target: height = 0.05
17.3347 	EXP 	target: height = 0.05
17.3347 	EXP 	target: text = 'green'
17.8193 	EXP 	target: autoDraw = True
21.8225 	EXP 	target: autoDraw = False
21.8405 	EXP 	New trial (rep=0, index=2): {'word': 'green', 'color': 'green', 'congruent': 1, 'corrAns': 'down'}
21.8415 	DATA 	Keypress: right
21.8558 	EXP 	target: autoDraw = False
21.8558 	EXP 	target: text = 'green'
22.3396 	EXP 	target: autoDraw = True
24.0593 	EXP 	New trial (rep=0, index=3): {'word': 'red', 'color': 'green', 'congruent': 0, 'corrAns': 'down'}
24.0633 	DATA 	Keypress: down
24.0747 	EXP 	target: autoDraw = False
24.0747 	EXP 	target: height = 0.05
24.0747 	EXP 	target: height = 0.05
